"V1","V2"
-3,-358
-121,-324
-345,1
-11,-119
-202,3
-67,-168
-74,-161
-10,-44
-37,-371
-40,-224
-38,-189
-69,7
-147,-351
-173,2
-178,-409
-104,11
-123,-190
-7,-17
-100,-160
-439,-451
-25,-28
-80,-309
-56,-125
-230,6
4,9
-31,12
-60,-204
-223,-269
-33,8
-45,21
-162,-262
5,24
-169,-252
-39,-77
-54,15
-408,19
-239,-283
-47,-58
-55,-201
-176,-394
-88,-101
-238,-612
-148,10
-61,18
-226,-624
-195,-265
-137,13
-124,-157
-118,-171
-396,-446
-571,22
-111,-282
-16,-424
16,29
-49,39
-183,-193
-243,-286
-264,53
-149,-215
17,26
-85,-210
-343,36
-50,-57
-102,-378
-187,-211
-72,35
-12,-259
14,60
30,34
-116,-198
-151,-319
38,47
-200,-213
-89,49
-181,-363
-331,57
-132,-300
-222,43
-32,-212
-141,28
-6,-79
-260,-281
-443,56
-98,23
-219,-347
-403,40
-155,-327
-53,-81
-253,-278
-153,-191
-416,-629
-64,-271
-182,27
-185,42
-20,-525
-398,-456
-30,46
31,48
-135,-257
-180,52
37,51
-374,33
-206,-462
-115,-349
-460,50
-65,-325
-93,69
-107,-248
-383,-467
-321,-397
-133,78
-112,-623
-508,74
-547,61
32,44
-381,88
-120,55
-232,-372
-437,76
25,54
-103,-221
-95,-631
-360,-604
62,94
-139,-290
-46,-110
-507,-616
58,77
-379,73
70,102
-217,-294
-172,-407
-244,75
-203,-336
-318,-587
-196,-316
-2,-128
-21,72
-174,-291
-22,-76
67,113
-630,112
-274,114
-218,63
-386,-412
-306,117
-435,-553
-255,-404
41,59
-82,65
-261,104
-114,-277
-368,82
-177,-227
-129,-209
-301,125
-411,-430
-97,-322
98,130
80,107
-377,123
-136,84
-565,93
68,111
91,109
-375,-552
106,146
-399,-447
-159,-231
79,99
-356,121
-405,-560
142,143
20,103
-458,-579
96,105
-341,137
97,120
-559,-628
-365,-376
-216,-359
66,141
-245,-380
-330,115
-75,-298
-86,-284
-1,-165
45,71
86,118
-413,-602
-138,131
124,149
-52,-229
116,138
133,144
